movie_id,movie_title,domestic_total_gross,foreign_total_gross,opening_weekend,opening_weekend_limited,opening_weekend_wide,release_date,close_date,in_release_days,runtime_mins,rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers
furyroad,Mad Max: Fury Road,153636354,224800000,45428128,,,2015-05-15,2016-09-17,133,120,R,Sci-Fi Action,Warner Bros.,George Miller,George Miller,$150 million,"3,722","Riley Keough,Tom Hardy,Charlize Theron,Nicholas Hoult,Rosie Huntington-Whiteley","Nick Lathouris,Brendan McCarthy,George Miller",,Junkie XL
daddyshome,Daddy's Home,150357137,90003255,38740203,,,2015-12-25,2016-04-17,105,96,PG-13,Comedy,Paramount,Sean Anders,"Sean Anders, ,(Executive),Riza Aziz, ,(Executive),Jessica Elbaum ,(Executive),Will Ferrell,Chris Henchy,David Koplan ,(Executive),Joey McFarland, ,(Executive),Adam McKay,Kevin J. Messick ,(Executive),John Morris,Diana Pokorny ,(Executive)",N/A,"3,483","Linda Cardellini,Thomas Haden Church,Will Ferrell,Mark Wahlberg",,,
insurgent,The Divergent Series: Insurgent,130179072,167097257,52263680,,,2015-03-20,2016-07-17,112,119,PG-13,Action / Adventure,Lionsgate/Summit,Robert Schwentke,"Neil Burger, ,(executive),Lucy Fisher,David Hoberman, ,(executive),Douglas Wick",$110 million,"3,875","Shailene Woodley,Theo James,Kate Winslet,Octavia Spencer,Jai Courtney,Ray Stevenson,Miles Teller,Ansel Elgort,Maggie Q,Mekhi Phifer,Naomi Watts","Mark Bomback,Brian Duffield,Akiva Goldsman",,
peanuts2015,The Peanuts Movie,130178411,116054702,44213073,,,2015-11-06,2016-03-17,147,93,G,Animation,Fox,,,$99 million,"3,902",,,,Christophe Beck
secretservice,Kingsman: The Secret Service,128261724,286089822,36206331,,,2015-02-13,2016-07-17,147,129,R,Action / Adventure,Fox,Matthew Vaughn,Matthew Vaughn,$81 million,"3,282","Sofia Boutella,Colin Firth,Samuel L. Jackson,Michael Caine,Taron Egerton,Mark Strong,Sophie Cookson,Mark Hamill","Jane Goldman,Matthew Vaughn",,Henry Jackman
pixar2013,The Good Dinosaur,123087120,209120551,39155217,,,2015-11-25,2016-04-17,135,100,PG,Animation,Buena Vista,Peter Sohn,,N/A,"3,749","Jack Bright ,(Voice),Frances McDormand, ,(Voice),Raymond Ochoa ,(Voice),Anna Paquin, ,(Voice),Jeffrey Wright, ,(Voice),Steve Zahn ,(Voice)",,,"Jeff Danna,Mychael Danna"
susancooper,Spy,110825712,124840507,29085719,,,2015-06-05,2016-10-17,126,120,R,Comedy,Fox,Paul Feig,"Peter Chernin,Paul Feig",$65 million,"3,715","Morena Baccarin,Melissa McCarthy,Jason Statham,Jude Law,Rose Byrne,Allison Janney,Bobby Cannavale,50 Cent",Paul Feig,,Theodore Shapiro
trainwreck15,Trainwreck,110212700,30583093,30097040,,,2015-07-17,2016-10-17,,125,R,Comedy,Universal,Judd Apatow,"Judd Apatow,Barry Mendel",$35 million,"3,171","John Cena,Brie Larson,Method Man,Ezra Miller,Daniel Radcliffe, ,(Cameo),Marisa Tomei,Amy Schumer,Bill Hader,Tilda Swinton",Amy Schumer,,Jon Brion
creed,Creed,109767581,63800000,29632823,,,2015-11-25,2016-03-17,100,133,PG-13,Drama,Warner Bros. (New Line),Ryan Coogler,,$35 million,"3,502","Michael B. Jordan,Sylvester Stallone,Tessa Thompson",Ryan Coogler,,
1952,Tomorrowland,93436322,115718000,33028165,,,2015-05-22,2016-09-17,119,130,PG,Sci-Fi,Buena Vista,Brad Bird,"Brad Bird,Jeffrey Chernov,Damon Lindelof",$190 million,"3,972","Britt Robertson,George Clooney,Hugh Laurie,Keegan-Michael Key,Kathryn Hahn*,Judy Greer*","Brad Bird,Damon Lindelof",,Michael Giacchino
