,movie_id,movie_title,domestic_total_gross,foreign_total_gross,opening_weekend,opening_weekend_limited,opening_weekend_wide,release_date,close_date,in_release_days,runtime_mins,rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers,actorlist,winner,nomination
124,vaughn14,Unfinished Business,10219501.0,4211752,4772613.0,,,2015-03-06,2016-04-17,42.0,91.0,R,Comedy,Fox,Ken Scott,,$35 million,"2,777","Dave Franco,Sienna Miller,Vince Vaughn,Tom Wilkinson",,,,"['Dave Franco', 'Sienna Miller', 'Vince Vaughn', 'Tom Wilkinson']",0.0,2.0
125,clouds2015,The Walk,10137502.0,51044440,,1560299.0,3719177.0,2015-09-30,2016-11-17,40.0,123.0,PG,Adventure,TriStar,Robert Zemeckis,Robert Zemeckis,$35 million,"2,509","Joseph Gordon-Levitt,Ben Kingsley,Charlotte LeBon,James Badge Dale",,Dariusz Wolski,Alan Silvestri,"['Joseph Gordon-Levitt', 'Ben Kingsley', 'Charlotte LeBon', 'James Badge Dale']",1.0,3.0
126,ungalloconmuchoshuevos,Un Gallo con Muchos Huevos,9080818.0,n/a,,3424702.0,2024134.0,2015-09-04,2016-10-17,49.0,98.0,PG-13,Animation,Lionsgate,,,$5.3 million,616,,,,,['nan'],0.0,0.0
127,inherentvice,Inherent Vice,8110975.0,6600000,,328184.0,2773260.0,2014-12-12,2016-02-17,77.0,148.0,R,Crime,Warner Bros.,Paul Thomas Anderson,"Paul Thomas Anderson,Daniel Lupi,JoAnne Sellar",,653,"Michael K. Williams,Joaquin Phoenix,Josh Brolin,Owen Wilson,Reese Witherspoon,Benicio Del Toro,Jena Malone,Maya Rudolph*",Paul Thomas Anderson,,Jonny Greenwood,"['Michael K. Williams', 'Joaquin Phoenix', 'Josh Brolin', 'Owen Wilson', 'Reese Witherspoon', 'Benicio Del Toro', 'Jena Malone', 'Maya Rudolph*']",2.0,6.0
128,mann2015,Blackhat,8005980.0,11646077,3901815.0,,,2015-01-16,2016-02-17,,135.0,R,Thriller,Universal,Michael Mann,"Jon Jashni,Michael Mann,Thomas Tull",$70 million,"2,568","Chris Hemsworth,Viola Davis","Morgan Davis Foehl,Michael Mann",,"Harry Gregson-Williams,Atticus Ross","['Chris Hemsworth', 'Viola Davis']",0.0,2.0
129,trumbo2015,Trumbo (2015),7857741.0,377920,,74177.0,1613397.0,2015-11-06,2016-03-17,119.0,124.0,R,Drama,Bleecker Street,Jay Roach,,,660,"Bryan Cranston,Elle Fanning,John Goodman,Diane Lane,Helen Mirren,Michael Stuhlbarg,Alan Tudyk",,,,"['Bryan Cranston', 'Elle Fanning', 'John Goodman', 'Diane Lane', 'Helen Mirren', 'Michael Stuhlbarg', 'Alan Tudyk']",1.0,5.0
130,mortdecai,Mortdecai,7696134.0,39579561,4200586.0,,,2015-01-23,2016-02-17,28.0,106.0,R,Action Comedy,Lionsgate,David Koepp,"Johnny Depp,Andrew Lazar,Gigi Pritzker",$60 million,"2,648","Johnny Depp,Gwyneth Paltrow,Ewan McGregor,Paul Bettany,Olivia Munn,Oliver Platt,Jeff Goldblum",Eric Aronson,,"Mark Ronson,Geoff Zanelli","['Johnny Depp', 'Gwyneth Paltrow', 'Ewan McGregor', 'Paul Bettany', 'Olivia Munn', 'Oliver Platt', 'Jeff Goldblum']",1.0,3.0
131,whilewereyoung,While We're Young,7587485.0,9699824,,227688.0,1438384.0,2015-03-27,2016-06-17,94.0,94.0,R,Comedy / Drama,A24,Noah Baumbach,"Noah Baumbach,Scott Rudin",,762,"Ben Stiller,Naomi Watts,Adam Driver,Amanda Seyfried,Charles Grodin",Noah Baumbach,,James Murphy,"['Ben Stiller', 'Naomi Watts', 'Adam Driver', 'Amanda Seyfried', 'Charles Grodin']",0.0,2.0
132,greeninferno,The Green Inferno,7192291.0,n/a,3520626.0,,,2015-09-25,2016-11-17,42.0,100.0,R,Horror,High Top Releasing,Eli Roth,,$5 million,"1,543",,,,,['nan'],0.0,0.0
133,ourbrandiscrisis20115,Our Brand Is Crisis (2015),7002261.0,n/a,3238433.0,,,2015-10-30,2016-12-17,49.0,108.0,R,Comedy / Drama,Warner Bros.,David Gordon Green,"Sandra Bullock,George Clooney,Grant Heslov",$28 million,"2,202","Sandra Bullock,Ann Dowd,Zoe Kazan,Anthony Mackie,Scoot McNairy,Billy Bob Thornton",Peter Straughan,Tim Orr,,"['Sandra Bullock', 'Ann Dowd', 'Zoe Kazan', 'Anthony Mackie', 'Scoot McNairy', 'Billy Bob Thornton']",1.0,3.0
134,grandma2015,Grandma (2015),6980524.0,106928,,115540.0,1501101.0,2015-08-21,2016-03-17,196.0,78.0,R,Comedy,Sony Classics,Paul Weitz,,"$600,000","1,061","Judy Greer,Marcia Gay Harden,Lily Tomlin",Paul Weitz,,,"['Judy Greer', 'Marcia Gay Harden', 'Lily Tomlin']",1.0,2.0
135,meandearl,Me and Earl and the Dying Girl,6758416.0,2316333,,196496.0,1246803.0,2015-06-12,2016-09-17,91.0,104.0,PG-13,Drama,Fox Searchlight,,,$8 million,870,,,,,['nan'],0.0,0.0
136,littleboy,Little Boy,6485961.0,n/a,2750356.0,,,2015-04-24,2016-06-17,56.0,106.0,PG-13,Drama,Open Road Films,Alejandro Monteverde,"Mark Burnett, ,(executive)",,"1,045","Kevin James,Emily Watson,Tom Wilkinson,Michael Rapaport","Alejandro Monteverde,Pepe Portillo",,,"['Kevin James', 'Emily Watson', 'Tom Wilkinson', 'Michael Rapaport']",0.0,4.0
137,loft,The Loft,6002684.0,4074106,2747342.0,,,2015-01-30,2016-02-17,28.0,108.0,R,Thriller,Open Road Films,Erik Van Looy,"Hilde De Laere,Matt DeRoss,Steve Golin,Paul Green",,"1,841","Karl Urban,Wentworth Miller,James Marsden,Rhona Mitra,Margarita Levieva,Eric Stonestreet,Rachael Taylor,Matthias Schoenaerts,Isabel Lucas",,,,"['Karl Urban', 'Wentworth Miller', 'James Marsden', 'Rhona Mitra', 'Margarita Levieva', 'Eric Stonestreet', 'Rachael Taylor', 'Matthias Schoenaerts', 'Isabel Lucas']",0.0,0.0
