name,meanScore
Angelina Jolie,
Catherine Keener,
Samantha Morton,
Chloë Sevigny,
Javier Bardem,
Benicio Del Toro,
Joaquin Phoenix,
Laura Linney,
Marcia Gay Harden,
Kate Hudson,
Will Smith,
Tom Wilkinson,
Jim Broadbent,
Ethan Hawke,
Halle Berry,
Nicole Kidman,
Renée Zellweger,
Jennifer Connelly,
Adrien Brody,
Chris Cooper,
John C. Reilly,
Salma Hayek,
Diane Lane,
Queen Latifah,
Catherine Zeta-Jones,
Johnny Depp,
Bill Murray,
Alec Baldwin,
Djimon Hounsou,
Tim Robbins,
Ken Watanabe,
Keisha Castle-Hughes,
Charlize Theron,
Naomi Watts,
Shohreh Aghdashloo,
Patricia Clarkson,
Don Cheadle,
Jamie Foxx,
Alan Alda,
Thomas Haden Church,
Clive Owen,
Catalina Sandino Moreno,
Imelda Staunton,
Virginia Madsen,
Sophie Okonedo,
Natalie Portman,
Philip Seymour Hoffman,
Terrence Howard,
Heath Ledger,
David Strathairn,
George Clooney,
Matt Dillon,
Paul Giamatti,
Jake Gyllenhaal,
Felicity Huffman,
Keira Knightley,
Reese Witherspoon,
Amy Adams,
Rachel Weisz,
Michelle Williams,
Ryan Gosling,
Forest Whitaker,
Jackie Earle Haley,
Eddie Murphy,
Mark Wahlberg,
Penélope Cruz,
Adriana Barraza,
Abigail Breslin,
Jennifer Hudson,
Rinko Kikuchi,
Viggo Mortensen,
Casey Affleck,
Hal Holbrook,
Marion Cotillard,
Ellen Page,
Ruby Dee,
Saoirse Ronan,
Amy Ryan,
Tilda Swinton,
Richard Jenkins,
Frank Langella,
Mickey Rourke,
Josh Brolin,
Michael Shannon,
Anne Hathaway,
Melissa Leo,
Viola Davis,
Taraji P. Henson,
Colin Firth,
Jeremy Renner,
Christopher Plummer,
Stanley Tucci,
Christoph Waltz,
Sandra Bullock,
Carey Mulligan,
Gabourey Sidibe,
Vera Farmiga,
Maggie Gyllenhaal,
Anna Kendrick,
Mo'Nique,
Jesse Eisenberg,
James Franco,
Christian Bale,
John Hawkes,
Mark Ruffalo,
Jennifer Lawrence,
Hailee Steinfeld,
Jacki Weaver,
Demián Bichir,
Jean Dujardin,
Gary Oldman,
Jonah Hill,
Rooney Mara,
Bérénice Bejo,
Jessica Chastain,
Melissa McCarthy,
Octavia Spencer,
Bradley Cooper,
Hugh Jackman,
Emmanuelle Riva,
Quvenzhané Wallis,
Chiwetel Ejiofor,
Matthew McConaughey,
Barkhad Abdi,
Michael Fassbender,
Jared Leto,
Sally Hawkins,
Lupita Nyong'o,
June Squibb,
Steve Carell,
Benedict Cumberbatch,
Michael Keaton,
Eddie Redmayne,
J.K. Simmons,
Felicity Jones,
Rosamund Pike,
Patricia Arquette,
Emma Stone,
Bryan Cranston,
Tom Hardy,
Mark Rylance,
Brie Larson,
Charlotte Rampling,
Jennifer Jason Leigh,
Rachel McAdams,
Alicia Vikander,
